"Pays_Code";"Pays";"Mesure";"Unité";"Multiplicateur";"Base";"Date";"Valeur";"Statut"
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2004;404873,8379;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2005;421516,7894;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2006;440791,4504;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2007;461937,1631;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2008;485389,724;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2009;480981,5782;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2010;480259,4814;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2011;492004,5426;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2012;491269,7931;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2013;506026,7443;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2014;521274,7556;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2017;595853,411;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2018;636171,5658;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2019;686100,8207;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2020;729862;"Définition différente  "
"USA";"États-Unis";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;2022;810560,5888;"Définition différente  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1981;54718,42092;"Valeur estimée  "
"DEU";"Allemagne";"Dépenses intérieures brutes de R-D (DIRD)";"Dollars des É-U, PPA convertis";"Millions";2020;1982;56093,33109;"Valeur estimée  "
